Alimento,Energia (kcal),Energia (kJ)
Spezzatino di vitellone al vino rosso,161,676
Spigola,82,342
Spigola al cartoccio,126,527
"Spigola d'allevamento, filetti",149,625
"Spinaci, cotti, al microonde",35,146
"Spinaci, cotti, bolliti",41,171
"Spinaci, crudi",35,145
"Spinaci, surgelati",15,62
Spumante,87,364
Storione,145,608
Stracchino,300,1255
Strutto o sugna,892,3733
"Struzzo, solo tessuto muscolare, cotto, al forno",101,424
"Struzzo, solo tessuto muscolare, crudo",92,384
Succo di frutta,56,236
Sugo di pomodoro,74,308
Suro o sugarello,104,435
Tabulè,95,399
"Tacchino intero, con pelle, crudo",135,564
"Tacchino intero, senza pelle, cotto, al forno",117,488
"Tacchino intero, senza pelle, crudo",109,457
"Tacchino, coscio, con pelle, crudo",131,548
"Tacchino, fesa, cotta, al forno",131,548
"Tacchino, fesa, crudo",107,447
"Tacchino, fuso, con pelle, cotto, al forno",191,797
"Tacchino, fuso, con pelle, crudo",126,526
"Tacchino, fuso, senza pelle, cotto, al forno",190,796
"Tacchino, fuso, senza pelle, crudo",113,474
"Tacchino, sovracoscio, senza pelle, cotto, al forno",182,761
"Tacchino, sovracoscio, senza pelle, crudo",120,502
Taleggio,315,1319
"Tarassaco o dente di leone, fresco",37,155
"Tartufo, nero",48,201
"Tè, foglie",108,450
Tinca,79,333
Tonno,159,666
"Tonno in salamoia, sgocciolato",103,431
"Tonno sott'olio, sgocciolato",192,803
"Topinambur, cotto, bollito",52,219
Torrone alla mandorla,483,2022
Torta di mele,300,1257
Torta margherita,370,1547
"Tortellini, freschi",302,1265
"Tortellini, freschi, cotti",158,659
"Tortellini, secchi",379,1587
Triglia,123,515
Trippa di bovino,108,453
Trota,86,359
Trota al forno,186,777
"Trota iridea d'allevamento, filetti",118,494
Trota surgelata,92,385
"Trota surgelata, cotta, al microonde",105,439
"Trota surgelata, cotta, in forno",136,567
"Uova di anatra, intero",190,795
"Uova di gallina, albume",43,180
"Uova di gallina, intero",128,535
"Uova di gallina, intero , cotto, a frittata o strapazzato",150,629
"Uova di gallina, intero , cotto, alla coque o sodo",128,535
"Uova di gallina, intero, congelato",128,535
"Uova di gallina, intero, in polvere",537,2246
"Uova di gallina, tuorlo",325,1360
"Uova di gallina, tuorlo , cotto, in camicia",325,1360
"Uova di gallina, tuorlo, congelato",325,1360
"Uova di gallina, tuorlo, in polvere",642,2688
"Uova di oca, intero",189,789
"Uova di tacchina, intero",147,614
"Uva, bianca, fresca",86,360
"Uva, fresca",64,269
"Uva, nera, fresca",53,223
"Uva, secca",293,1228
"Uva, succo, in cartone",66,277
"Vegetali misti, surgelati",67,281
Vermouth dolce,139,581
Vermouth secco,121,505
Vino da pasto bianco,70,293
Vino da pasto rosso,75,314
"Vitello, filetto, cotto in padella",126,529
"Vitello, filetto, crudo",107,448
Vongola,65,270
Wafer ricoperto di cioccolato,498,2085
Whisky,245,1025
"Wurstel di puro suino, cotto",259,1085
"Wurstel di puro suino, crudo",250,1045
Yogurt caprino,60,249
"Yogurt da latte intero, alla frutta",80,335
"Yogurt da latte, parzialmente scremato",43,181
"Yogurt da latte, scremato",36,152
"Yogurt greco, 0% lipidi",51,213
"Yogurt greco, 0% lipidi, aromatizzato",86,361
"Yogurt greco, da latte intero",115,481
"Yogurt greco, da latte magro, alla frutta",74,311
"Yogurt, 0% lipidi",42,177
"Yogurt, da latte intero",66,278
"Zampone confezionato, precotto",361,1510
"Zampone Modena IGP, cotto",262,1096
"Zucca gialla, fresca",29,123
"Zucchero, saccarosio",392,1640
"Zucchine chiare, cotte, al vapore",20,84
"Zucchine chiare, cotte, in padella grigliate",29,120
Zucchine grigliate,75,315
"Zucchine, chiare",17,72
"Zucchine, chiare, cotte, al microonde",23,98
"Zucchine, cotte, bollite",30,125
"Zucchine, crude",16,66
"Zucchine, scure, cotte, al microonde",23,98
"Zucchine, scure, cotte, al vapore",20,85
"Zucchine, scure, cotte, in padella grigliate",37,154
"Zucchine, scure, crude",17,70
