Alimento,Energia (kcal),Energia (kJ)
"Cheese burger, fast food",300,1257
"Chicken Nuggets, fast food",242,1012
Ciccioli,636,2662
"Cicoria, da taglio, coltivata, cruda",14,61
"Cicoria, di campo, cotta, bollita",17,72
"Cicoria, di campo, cruda",17,72
"Cicoria, witloof o indivia belga, cruda",20,82
"Ciliege, candite",252,1056
"Ciliege, fresche",48,201
"Cioccolato, al latte",552,2308
"Cioccolato, al latte con nocciole",553,2313
"Cioccolato, fondente",531,2222
"Cipolle, cotte, bollite",39,161
"Cipolle, crude",28,118
"Cipolline, cotte, bollite",53,223
"Cipolline, crude",42,175
"Clementine, fresche",40,165
"Cocco, essiccato",669,2800
"Cocco, fresco",358,1497
Cocktail di frutta sciroppata,59,248
"Cocomero, fresco",16,67
"Coniglio intero, crudo",118,495
"Coniglio, coscio, crudo",137,574
"Coniglio, intero surgelato, crudo",116,487
"Coniglio, intero, cotto",166,693
Coppa,400,1674
Coratella di agnello,109,455
Coratella di vitello,100,419
Coregone,135,564
Corn flakes,367,1535
Cornetti,403,1685
Corvina,88,368
"Cotechino Modena IGP, cotto",253,1059
"Cotechino, confezionato precotto",449,1881
"Couscous, cotto",179,747
"Couscous, crudo",361,1509
Cozza o mitilo,84,351
"Crackers, al formaggio",498,2082
"Crackers, alla soia",421,1763
"Crackers, integrali",402,1682
"Crackers, salati",386,1616
"Crema di latte, 12% di lipidi",140,587
Crema di nocciole e cacao,537,2247
Crescenza,281,1177
Croissants,362,1513
"Crostata, con crema al cacao, industriale",492,2058
"Crostata, con marmellata di albicocche, industriale",421,1761
"Crostata, con marmellata, industriale",339,1418
Crusca di frumento,290,1215
Cuore di bovino,123,515
"Cuore di bovino, cotto",189,791
Cuore di equino,146,612
Cuore di ovino,134,560
Cuore di pollo,103,431
"Cuore di pollo, cotto",147,616
Cuore di suino,159,667
Cuore di tacchino,103,431
"Cuore di tacchino, cotto",147,616
Dadi da brodo,250,1045
"Daino, solo tessuto muscolare, crudo",95,397
"Datteri, secchi",270,1131
Dentice,101,422
"Dentice, surgelato",103,431
Dolce verde,276,1153
Edam,326,1364
Emmenthal,403,1686
"Fagiano, crudo",144,602
Fagioli,326,1362
"Fagioli dall'occhio, secchi",318,1332
